MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924789,5.4510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,-2.4100000
MsgID.LOCAL_POSITION,6.5050000,-0.1713240,0.2475961,-5.4510546
MsgID.LOCAL_VELOCITY,6.5050000,-0.0039944,-0.0351092,-2.4140587
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924802,5.7710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0300000,0.0400000
MsgID.LOCAL_POSITION,6.7540000,-0.0251046,0.2324711,-5.7719626
MsgID.LOCAL_VELOCITY,6.7540000,-0.0037585,-0.0330357,0.0458438
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924798,5.5530000
MsgID.LOCAL_VELOCITY,0.0000000,0.1500000,-0.2200000,1.6300000
MsgID.LOCAL_POSITION,7.0050000,-0.0736203,0.2257479,-5.5532904
MsgID.LOCAL_VELOCITY,7.0050000,0.1554027,-0.2266215,1.6328543
MsgID.GLOBAL_POSITION,0.0000000,-122.3974524,37.7924812,5.1110000
MsgID.LOCAL_VELOCITY,0.0000000,0.9400000,-0.9800000,1.9300000
MsgID.LOCAL_POSITION,7.2550000,0.0896481,0.0787398,-5.1119318
MsgID.LOCAL_VELOCITY,7.2550000,0.9451712,-0.9868945,1.9386398
MsgID.GLOBAL_POSITION,0.0000000,-122.3974572,37.7924851,4.8290000
MsgID.LOCAL_VELOCITY,0.0000000,2.3700000,-2.4700000,0.2600000
MsgID.LOCAL_POSITION,7.5040000,0.5204890,-0.3520042,-4.8299184
MsgID.LOCAL_VELOCITY,7.5040000,2.3759468,-2.4799118,0.2631561
MsgID.GLOBAL_POSITION,0.0000000,-122.3974661,37.7924905,4.9250000
MsgID.LOCAL_VELOCITY,0.0000000,3.4700000,-3.6600000,-0.7700000
MsgID.LOCAL_POSITION,7.7560000,1.1169230,-1.1417608,-4.9257131
MsgID.LOCAL_VELOCITY,7.7560000,3.4704649,-3.6604729,-0.7709812
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974767,37.7924987,5.0090000
MsgID.LOCAL_VELOCITY,0.0000000,3.9400000,-4.1200000,-0.1200000
MsgID.LOCAL_POSITION,8.0060000,2.0322745,-2.0855520,-5.0097094
MsgID.LOCAL_VELOCITY,8.0060000,3.9414637,-4.1244860,-0.1289677
MsgID.GLOBAL_POSITION,0.0000000,-122.3974901,37.7925089,4.9540000
MsgID.LOCAL_VELOCITY,0.0000000,4.5600000,-4.7200000,0.0100000
MsgID.LOCAL_POSITION,8.2560000,3.1637924,-3.2735937,-4.9543276
MsgID.LOCAL_VELOCITY,8.2560000,4.5656476,-4.7293653,0.0103533
MsgID.GLOBAL_POSITION,0.0000000,-122.3975059,37.7925219,4.9370000
MsgID.LOCAL_VELOCITY,0.0000000,5.3300000,-5.4600000,-0.3100000
MsgID.LOCAL_POSITION,8.5060000,4.6079545,-4.6797481,-4.9379320
MsgID.LOCAL_VELOCITY,8.5060000,5.3302922,-5.4601274,-0.3153211
MsgID.GLOBAL_POSITION,0.0000000,-122.3975206,37.7925332,4.9660000
MsgID.LOCAL_VELOCITY,0.0000000,5.8600000,-5.9400000,-0.2900000
MsgID.LOCAL_POSITION,8.7570000,5.8683949,-5.9881344,-4.9662967
MsgID.LOCAL_VELOCITY,8.7570000,5.8665900,-5.9401879,-0.2950594
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975372,37.7925455,4.9770000
MsgID.LOCAL_VELOCITY,0.0000000,6.0800000,-6.1100000,-0.1100000
MsgID.LOCAL_POSITION,9.0070000,7.2275915,-7.4635677,-4.9770432
MsgID.LOCAL_VELOCITY,9.0070000,6.0874109,-6.1119423,-0.1161204
MsgID.GLOBAL_POSITION,0.0000000,-122.3975540,37.7925603,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,6.1900000,-6.1800000,-0.0800000
MsgID.LOCAL_POSITION,9.2560000,8.8747721,-8.9579792,-4.9869494
MsgID.LOCAL_VELOCITY,9.2560000,6.1961222,-6.1841750,-0.0863054
MsgID.GLOBAL_POSITION,0.0000000,-122.3975699,37.7925755,4.9960000
MsgID.LOCAL_VELOCITY,0.0000000,6.2200000,-6.2100000,0.0400000
MsgID.LOCAL_POSITION,9.5060000,10.5659666,-10.3699427,-4.9969592
MsgID.LOCAL_VELOCITY,9.5060000,6.2287769,-6.2128954,0.0484395
MsgID.GLOBAL_POSITION,0.0000000,-122.3975875,37.7925888,5.0020000
